1B69	633.89	-3545.83	47.00	16.00	5979.80	5236.60	743.20	11216.40	6.82	1B69	-173.270	1B69	-0.16	-0.39	-4.39	-1.65	266	94.9595
1BDH	327.10	-907.35	10.00	8.00	16947.70	4009.10	12938.60	20956.80	6.05	1BDH	-117.521	1BDH	0.15	0.31	-2.64	-0.72	17	5.61575
1BDI	288.99	-901.98	9.50	12.00	17244.80	4041.50	13203.30	21286.30	8.60	1BDI	-116.378	1BDI	0.14	0.43	-2.67	-0.70	20	6.48428
1BDV	208.01	-803.09	2.50	7.00	4268.00	8411.20	-4143.20	12679.20	7.77	1BDV	-67.019	1BDV	-10.18	-9.65	-17.30	-12.37	10	3.32235
1BSU	550.81	-1827.71	21.50	18.00	12112.40	3952.90	8159.50	16065.30	6.64	1BSU	-191.893	1BSU	3.08	3.82	1.04	2.65	28	9.31091
1BY4	348.45	-1481.65	16.00	4.00	5553.10	11036.30	-5483.20	16589.40	6.46	1BY4	-117.056	1BY4	-14.35	-13.63	-24.22	-17.40	22	7.3217
1F6U	1009.53	-2839.92	32.50	16.00	5507.80	3741.00	1766.80	9248.80	6.96	1F6U	-208.857	1F6U	2.22	-0.25	-0.93	0.34	236	84.1644
1H88	258.72	-1221.72	10.00	12.00	7437.00	9616.10	-2179.10	17053.10	8.79	1H88	-103.797	1H88	-11.70	-11.75	-20.17	-14.54	17	5.66379
1H89	250.04	-1188.95	9.50	15.00	6645.20	9626.10	-2980.90	16271.30	8.79	1H89	-127.373	1H89	-18.04	-21.64	-29.54	-23.07	22	7.15728
1H8A	273.65	-1221.22	11.50	12.00	7075.30	9677.80	-2602.50	16753.10	7.60	1H8A	-136.903	1H8A	-11.42	-11.42	-19.81	-14.22	20	6.81278
1H9D	346.76	-1315.59	16.00	21.00	7496.30	7802.20	-305.90	15298.50	11.00	1H9D	-134.765	1H9D	-6.12	-6.08	-12.28	-8.16	32	10.4878
1H9T	797.35	-1911.99	30.50	17.00	13181.30	7161.40	6019.90	20342.70	9.70	1H9T	-251.215	1H9T	-4.19	-4.19	-10.14	-6.17	32	10.3646
1I8M	204.52	-270.18	6.00	3.00	11260.10	2065.40	9194.70	13325.50	5.57	1I8M	-44.467	1I8M	2.54	3.37	1.83	2.58	7	2.41687
1IMH	412.15	-1938.36	16.00	14.00	15392.50	5791.40	9601.10	21183.90	7.52	1IMH	-116.301	1IMH	-2.92	-2.66	-7.48	-4.36	22	7.2115
1IO4	249.75	-1117.34	10.50	7.00	6392.00	9600.80	-3208.80	15992.80	8.12	1IO4	-91.377	1IO4	-12.04	-11.67	-20.58	-14.76	11	3.70359
1J5K	764.63	-1713.50	31.00	9.00	5379.00	1501.40	3877.60	6880.40	5.52	1J5K	-131.109	1J5K	5.43	5.61	4.57	5.21	235	83.4124
1J75	286.10	-553.80	12.00	3.00	3651.00	1790.80	1860.20	5441.80	7.46	1J75	-87.744	1J75	2.98	3.40	1.80	2.72	3	1.14671
1JBR	249.11	-1184.86	2.00	6.00	8383.80	10883.20	-2499.40	19267.00	6.00	1JBR	-49.536	1JBR	-15.98	-25.17	-26.34	-22.49	15	5.21733
1JE8	411.04	-1530.60	12.50	15.00	4414.00	15121.30	-10707.30	19535.30	9.82	1JE8	-188.487	1JE8	-20.36	-19.20	-33.45	-24.34	17	5.78848
1JFS	259.54	-900.34	11.00	8.00	17211.70	4000.10	13211.60	21211.80	9.15	1JFS	-114.317	1JFS	0.21	0.32	-2.52	-0.66	17	5.55656
1JFT	303.59	-922.22	11.50	10.00	17337.00	4020.20	13316.80	21357.20	9.15	1JFT	-119.088	1JFT	0.27	0.32	-2.51	-0.64	21	6.69574
1JH9	364.37	-977.60	13.50	11.00	16737.80	3978.70	12759.10	20716.50	8.70	1JH9	-115.696	1JH9	0.39	0.41	-2.45	-0.55	21	6.88877
1JJ4	365.27	-1247.60	9.00	13.00	4698.10	6051.40	-1353.30	10749.50	8.80	1JJ4	-140.865	1JJ4	-3.94	-3.51	-9.05	-5.50	19	6.42038
1JK1	684.54	-2355.09	28.50	23.00	6870.70	4368.90	2501.80	11239.60	10.59	1JK1	-207.764	1JK1	2.81	1.98	0.07	1.62	35	11.3578
1JK2	776.20	-2687.03	28.50	25.00	6825.40	4448.50	2376.90	11273.90	10.37	1JK2	-227.707	1JK2	3.15	3.86	0.39	2.47	42	13.5199
1JKO	820.50	-1486.75	33.00	14.00	3246.30	5676.60	-2430.30	8922.90	8.12	1JKO	-239.704	1JKO	-0.82	-0.51	-5.26	-2.20	28	9.15284
1JKP	832.80	-1610.03	34.00	17.00	3630.50	5706.80	-2076.30	9337.30	8.69	1JKP	-231.063	1JKP	-1.05	-0.31	-5.52	-2.29	41	13.3389
1JKQ	737.89	-1413.72	22.00	13.00	3295.00	5741.10	-2446.10	9036.10	7.57	1JKQ	-188.758	1JKQ	-1.67	-1.34	-6.20	-3.07	29	9.49641
1JKR	762.91	-1474.36	31.50	15.00	3426.20	5787.90	-2361.70	9214.10	7.01	1JKR	-234.388	1JKR	-1.35	-0.96	-5.95	-2.75	26	8.43601
1JT0	547.99	-1593.06	20.00	16.00	10588.90	10446.00	142.90	21034.90	7.31	1JT0	-177.446	1JT0	-11.76	-11.11	-21.08	-14.65	30	10.2609
1KFV	730.60	-2120.34	24.00	12.00	12874.30	10261.40	2612.90	23135.70	8.22	1KFV	-233.568	1KFV	-8.55	-7.53	-16.41	-10.83	25	8.0935
1KQ2	354.95	-467.17	6.00	5.00	4246.30	2220.00	2026.30	6466.30	7.52	1KQ2	-92.642	1KQ2	3.02	2.48	1.86	2.45	7	2.3063
1L1C	607.72	-2280.55	38.00	17.00	4209.80	5692.50	-1482.70	9902.30	8.00	1L1C	-144.118	1L1C	-2.90	-6.99	-7.86	-5.92	213	73.1222
1M18	983.68	-2965.50	51.50	20.00	8588.40	53232.90	-44644.50	61821.30	6.22	1M18	-363.457	1M18	-130.90	-147.59	-198.33	-158.94	36	11.8028
1M19	956.56	-3038.60	47.00	24.00	8988.60	53146.10	-44157.50	62134.70	6.22	1M19	-360.942	1M19	-130.61	-147.22	-197.97	-158.60	37	11.9548
1M1A	998.48	-3008.98	49.50	16.00	8828.80	52879.20	-44050.40	61708.00	6.22	1M1A	-358.454	1M1A	-130.80	-147.50	-198.26	-158.85	39	12.8439
1MHD	205.05	-1238.84	7.00	9.00	7181.50	5176.30	2005.20	12357.80	6.94	1MHD	-81.763	1MHD	-3.23	-3.19	-7.24	-4.55	11	3.57479
1N32	572.71	-3556.05	20.00	8.00	12237.90	214697.60	-202459.70	226935.50	3.82	1N32	-142.884	1N32	-13.86	-22.60	-23.63	-20.03	12	4.03244
1N33	461.38	-3387.81	14.00	5.00	13006.10	217227.50	-204221.40	230233.60	4.07	1N33	-120.299	1N33	-12.57	-20.49	-22.06	-18.38	8	2.63471
1N34	552.52	-3654.53	24.50	16.00	12497.80	216098.20	-203600.40	228596.00	3.66	1N34	-143.737	1N34	-12.79	-20.30	-22.61	-18.56	34	11.0958
1N36	474.75	-3547.42	18.50	10.00	12660.60	214970.70	-202310.10	227631.30	3.82	1N36	-115.309	1N36	-12.56	-20.43	-22.15	-18.38	23	7.34717
1NG9	1284.71	-2853.34	49.50	17.00	38511.00	6776.80	31734.20	45287.80	5.02	1NG9	-348.337	1NG9	-1.06	-0.47	-7.04	-2.86	26	8.30154
1NKP	364.17	-1374.81	11.50	8.00	8225.90	14644.40	-6418.50	22870.30	7.05	1NKP	-103.071	1NKP	-19.82	-19.61	-32.23	-23.89	22	7.22057
1NNJ	823.85	-2229.24	27.50	16.00	13173.50	5570.20	7603.30	18743.70	8.22	1NNJ	-236.504	1NNJ	-0.18	0.63	-4.36	-1.30	31	9.9324
1NYB	389.15	-1359.90	33.50	14.00	2709.30	4766.10	-2056.80	7475.40	7.09	1NYB	-124.698	1NYB	-2.10	-5.34	-6.15	-4.53	159	55.8856
1O3S	242.02	-1468.12	14.50	14.00	11888.50	5184.00	6704.50	17072.50	10.85	1O3S	-130.853	1O3S	-2.00	-2.05	-5.99	-3.35	28	9.4405
1OUZ	1027.52	-2684.44	48.50	25.00	8318.80	13212.50	-4893.70	21531.30	7.82	1OUZ	-323.723	1OUZ	-13.72	-12.26	-25.45	-17.15	36	11.5685
1OWF	1020.48	-2661.46	44.50	20.00	8502.80	13103.00	-4600.20	21605.80	8.34	1OWF	-330.465	1OWF	-13.74	-12.26	-25.46	-17.15	34	11.3003
1OWG	1084.52	-2684.05	46.00	23.00	8451.60	13090.50	-4638.90	21542.10	6.70	1OWG	-320.166	1OWG	-13.68	-12.20	-25.38	-17.09	47	15.1185
1OWR	622.65	-2663.33	32.00	20.00	16481.80	23068.90	-6587.10	39550.70	8.57	1OWR	-179.417	1OWR	-32.55	-30.31	-51.98	-38.28	45	14.8937
1P7H	633.99	-2459.03	32.00	20.00	16567.50	11343.10	5224.40	27910.60	7.70	1P7H	-229.738	1P7H	-11.20	-10.36	-20.68	-14.08	40	12.9345
1PO6	1046.46	-1412.12	22.50	15.00	11002.10	3028.10	7974.00	14030.20	6.80	1PO6	-219.973	1PO6	5.29	5.34	3.95	4.86	34	10.6166
1PP8	485.74	-1851.20	29.50	14.00	7127.20	17641.10	-10513.90	24768.30	6.72	1PP8	-201.896	1PP8	-24.43	-22.65	-39.87	-28.98	29	9.69086
1Q9Y	1308.96	-3582.29	47.50	17.00	42573.00	6252.40	36320.60	48825.40	4.70	1Q9Y	-425.685	1Q9Y	1.49	1.56	-3.42	-0.12	35	11.497
1QFQ	778.31	-2443.98	39.50	14.00	3757.80	3073.10	684.70	6830.90	7.70	1QFQ	-99.470	1QFQ	2.44	-0.02	-0.06	0.79	357	124.864
1QP0	336.35	-918.74	10.50	8.00	17205.00	4053.70	13151.30	21258.70	8.00	1QP0	-128.424	1QP0	0.31	0.38	-2.49	-0.60	14	4.55141
1QP4	317.51	-914.65	11.00	8.00	17083.50	4052.30	13031.20	21135.80	8.00	1QP4	-127.843	1QP4	0.25	0.43	-2.54	-0.62	18	5.84104
1QP7	300.96	-886.94	11.00	9.00	17028.50	4056.50	12972.00	21085.00	6.11	1QP7	-113.824	1QP7	0.11	0.23	-2.63	-0.76	17	5.63131
1QP9	590.22	-1597.62	23.00	23.00	6777.70	14458.10	-7680.40	21235.80	7.42	1QP9	-179.667	1QP9	-19.16	-17.82	-31.97	-22.98	45	14.3775
1QPZ	318.89	-927.28	11.00	9.00	17264.20	4035.20	13229.00	21299.40	8.59	1QPZ	-126.919	1QPZ	0.32	0.52	-2.45	-0.54	16	5.32083
1QQA	330.15	-900.74	12.00	7.00	17065.70	4041.10	13024.60	21106.80	6.40	1QQA	-117.296	1QQA	0.11	0.31	-2.67	-0.75	16	5.3577
1QQB	292.87	-896.08	10.50	8.00	16891.70	4056.00	12835.70	20947.70	5.70	1QQB	-113.791	1QQB	0.16	0.38	-2.61	-0.69	15	4.99824
1QZG	741.59	-1196.79	14.00	11.00	9035.50	2439.80	6595.70	11475.30	6.32	1QZG	-170.479	1QZG	4.81	5.39	3.30	4.50	17	5.87855
1R8D	654.60	-1714.50	25.50	15.00	7987.00	10223.50	-2236.50	18210.50	8.62	1R8D	-229.963	1R8D	-10.03	-9.13	-18.55	-12.57	24	7.80787
1R8E	258.81	-766.68	10.50	9.00	17230.70	5377.70	11853.00	22608.40	8.62	1R8E	-103.197	1R8E	-2.59	-2.50	-6.39	-3.82	14	4.4958
1RKJ	1286.17	-3778.37	48.00	18.00	12051.20	4963.60	7087.60	17014.80	5.96	1RKJ	-77.722	1RKJ	2.10	-0.38	-1.59	0.04	513	184.97
1S03	806.03	-2122.75	23.50	9.00	7574.70	17321.60	-9746.90	24896.30	6.70	1S03	-238.877	1S03	-3.31	-7.12	-9.10	-6.51	15	4.92844
1SI2	665.18	-1256.70	22.50	13.00	7893.20	2252.70	5640.50	10145.90	9.05	1SI2	-196.770	1SI2	5.19	4.49	3.83	4.50	22	7.26579
1SI3	646.51	-1241.09	22.50	17.00	7873.00	2176.30	5696.70	10049.30	8.66	1SI3	-167.668	1SI3	4.93	4.07	3.65	4.22	31	10.0202
1T9I	1162.67	-3348.20	37.50	30.00	8742.90	8927.40	-184.50	17670.30	9.22	1T9I	-387.513	1T9I	-3.39	-3.28	-10.71	-5.79	46	15.2474
1T9J	1318.70	-3444.55	40.50	33.00	8664.70	8845.10	-180.40	17509.80	9.22	1T9J	-431.319	1T9J	-2.82	-2.53	-10.18	-5.18	47	15.5101
1U0C	1150.54	-3307.27	33.50	28.00	8770.00	8872.10	-102.10	17642.10	8.70	1U0C	-355.738	1U0C	-3.99	-4.13	-11.28	-6.47	57	18.8053
1U1K	1115.16	-1454.38	21.00	15.00	10930.90	3151.80	7779.10	14082.70	6.97	1U1K	-216.835	1U1K	5.49	5.61	4.15	5.08	31	9.79182
1U1L	1150.42	-1457.17	20.00	17.00	10948.80	3148.50	7800.30	14097.30	6.97	1U1L	-226.245	1U1L	5.44	5.42	4.13	5.00	35	10.9687
1U1M	1127.11	-1464.91	21.00	16.00	10953.60	3281.90	7671.70	14235.50	6.53	1U1M	-217.032	1U1M	5.39	5.43	4.05	4.96	36	11.3405
1U1N	1109.01	-1464.61	20.50	16.00	10946.80	3280.30	7666.50	14227.10	6.50	1U1N	-228.597	1U1N	5.52	5.66	4.22	5.13	33	10.376
