10gs	744.184	-1024.05	9	9	17156.9	735.1	9	6.4	10gs	-114.905	10gs	6.24	7.20	5.98	6.47	73	25.1502
11gs	855.504	-1151.81	14	10	16886.9	858.8	10	5.82	11gs	-132.403	11gs	6.28	6.93	6.12	6.45	83	28.637
1a08	554.236	-693.588	8.5	6	6167.4	925.3	6	5.62	1a08	-109.942	1a08	5.38	5.96	5.16	5.50	78	26.3929
1a0q	708.885	-887.82	7	7	19494.7	592.6	7	7.57	1a0q	-102.187	1a0q	6.14	6.33	5.84	6.11	69	23.6448
1a1b	527.704	-571.727	8.5	9	10976.8	901	9	6.4	1a1b	-109.815	1a1b	5.32	6.01	5.22	5.52	87	29.918
1a1c	508.08	-608.455	10.5	9	11034.1	855.2	9	6.4	1a1c	-110.704	1a1c	5.74	6.16	5.70	5.87	89	30.4026
1a1e	536.474	-519.319	8.5	6	10714.5	842.9	6	6	1a1e	-115.126	1a1e	5.69	6.26	5.75	5.90	85	29.2946
1a4k	840.453	-1194.38	10	1	39620.9	689	1	8	1a4k	-99.838	1a4k	6.26	6.39	6.32	6.32	42	14.1629
1a4r	348.584	-796.952	9	10	19550.1	621.2	10	6.66	1a4r	-115.779	1a4r	5.58	5.74	5.39	5.57	115	38.878
1a4w	862.775	-1449.6	13.5	7	11847.7	866.2	7	5.92	1a4w	-149.522	1a4w	6.81	7.39	6.42	6.87	67	22.5832
1a69	498.099	-1169.3	5.5	4	41219.8	434.8	4	5.3	1a69	-99.149	1a69	5.58	5.83	5.49	5.64	54	18.0955
1a8i	374.989	-974.549	7.5	10	50144.2	405	9	5.52	1a8i	-88.620	1a8i	5.47	5.83	5.44	5.58	51	17.3169
1a94	1114.02	-2137.16	16	11	10106.4	1228.2	11	7.85	1a94	-245.069	1a94	8.01	8.84	7.97	8.27	88	30.0812
1a99	484.329	-381.841	3.5	2	26215.7	301.2	2	5.7	1a99	-47.415	1a99	4.80	4.85	4.46	4.71	8	2.63005
1a9m	967.945	-1935.48	20.5	8	10183.8	920.4	7	6.92	1a9m	-185.094	1a9m	7.27	7.34	7.36	7.32	78	26.0258
1aaq	860.02	-1652.62	17	13	9842.9	950.6	12	8.4	1aaq	-175.173	1aaq	7.11	8.15	7.44	7.57	76	25.9111
1add	552.053	-1117.28	8.5	8	13359.8	452.4	6	6.74	1add	-100.116	1add	5.78	5.90	5.68	5.79	40	13.5727
1adl	596.524	-931.834	11	3	13636	580.8	3	5.36	1adl	-98.761	1adl	5.69	6.47	5.47	5.88	41	13.696
1afk	277.788	-624.038	11.5	11	7688	647.8	11	6.62	1afk	-98.731	1afk	5.38	5.64	5.23	5.42	84	28.1621
1afl	268.945	-548.446	11	16	7556.1	624.1	15	6.28	1afl	-80.935	1afl	5.26	5.47	5.10	5.28	99	33.9281
1ai4	408.835	-655.606	4	2	28795.4	336.9	2	2.5	1ai4	-53.134	1ai4	5.14	5.29	4.94	5.13	34	11.6079
1ai5	383.764	-716.322	2	2	29279.3	352.6	2	3.72	1ai5	-57.378	1ai5	5.34	5.52	5.08	5.31	35	12.1625
