1a22	2460.45	-3608.39	14.5	18	9921.3	10655.9	55	16.532	-3.63	76.39	647.8	10070.8	1a22	Protein-Protein	2.6	Kd	9.47
1abt	1372.2	-933.574	6.5	10	4806.5	1203.4	39	11.7927	3.94	30.35	421.8	4202.8	1abt	Protein-Ligand	NMR	Kd	5.853872
1acb	1780.42	-1907.78	4.5	6	10665	4239.3	48	14.9061	0.11	109.98	422.6	14092	1acb	Protein-Protein	2	Kd	9.7
1an1	1725.01	-1643.63	10	8	9479.7	2928.5	45	13.259	-1.07	98.29	502.2	12976.5	1an1	Protein-Protein	2.03	Ki	9.05
1atn	1747.71	-2354.97	9.5	8	17115.6	10481.4	48	14.4824	0.68	143.04	326.2	21079	1atn	Protein-Protein	2.8	Kd	9.35
1avp	1759.2	-1268.83	12	14	9988.3	1756.4	45	14.1449	2.93	88.02	717.1	11715.4	1avp	Protein-Ligand	2.6	Kd	7.92
1avx	1736.74	-2558.67	13.5	9	9413.9	8746.2	49	15.1398	-0.09	97.69	382.1	13042.5	1avx	Protein-Protein	1.9	Kd	13.22
1axi	1945.8	-3137.42	14	10	9667.3	10950.3	51	15.1049	-0.96	78.59	518.4	9801	1axi	Protein-Protein	2.1	Kd	7.85
1ay7	1248.83	-1601.39	8.5	11	5580.2	4956.5	35	10.7587	-3.34	36.25	397	5597.8	1ay7	Protein-Protein	1.7	Kd	6
1aze	869.096	-602.975	8	6	3898	1815.1	30	9.0515	-0.53	10.88	296.3	3144.2	1aze	Protein-Ligand	NMR	Kd	4.22
1azg	889.182	-564.82	0.5	1	1641.7	4029.3	19	5.61576	1.7	5.01	45.1	784	1azg	Protein-Ligand	NMR	Kd	4.79588
1bjr	1915.69	-759.296	6.5	7	10277.1	1031.1	147	48.3032	-0.85	88.67	401.8	16791.9	1bjr	Protein-Ligand	2.44	Ki	7.68
1buh	1157.25	-1828.23	6.5	6	14404.9	4814.7	26	7.74883	1.43	135.57	250.2	15808.1	1buh	Protein-Protein	2.6	Kd	7.11
1bvn	2199.73	-3088.36	7	8	18182.4	4371.4	40	12.3446	1.29	189.75	438.1	28908.2	1bvn	Protein-Protein	2.5	Ki	11.05
1bxl	1726.44	-1388.77	4.5	1	12134.7	2021.5	37	10.7766	-1.01	56.47	46.2	10433.7	1bxl	Protein-Ligand	NMR	Kd	6.468521
1c9p	1432.47	-1668.45	10	6	9490	3688	42	12.7368	-0.3	98.29	282.6	12976.5	1c9p	Protein-Protein	2.8	Ki	9
1cka	1348.59	-705.169	11	5	4012.4	1344.3	38	10.9492	-0.57	11.16	286.1	3185.7	1cka	Protein-Ligand	1.5	Kd	5.72
1ckb	1061.18	-623.955	7.5	5	3988.4	1117.5	30	8.91918	1.67	11.16	234.1	3185.7	1ckb	Protein-Ligand	1.9	Kd	5.28
1clv	1914.8	-2381.58	9	9	16836.5	2379.4	47	14.0034	-4.59	161.41	496.8	27869.6	1clv	Protein-Protein	2	Kd	9
1cwb	1146	-1020.01	6.5	4	7620.1	1261.2	29	8.42595	1.02	55.33	158.6	9647.6	1cwb	Protein-Ligand	2.2	Ki	7.886056
1cwc	1216.52	-1027.54	6	4	7610.6	1248.1	29	8.56187	1.02	55.33	158.6	9647.6	1cwc	Protein-Ligand	1.86	IC50	7.8
1cyn	1202.52	-1043.14	5.5	4	8662	1232.2	26	7.66261	1.02	52.31	158.6	10183.8	1cyn	Protein-Ligand	1.85	Ki	7.68
1czq	715.792	-478.541	0.5	0	4839.9	1649	10	2.72217	0	11.18	0	2358.5	1czq	Protein-Ligand	1.5	IC50	4.537602
1d4t	2018.89	-1285.55	10.5	6	6543.8	1712.2	31	9.10404	-0.29	44.27	312.2	5900.2	1d4t	Protein-Ligand	1.1	Kd	6.187087
1d6r	1097.28	-1602.67	10	8	9160.8	4317	24	7.55061	-0.72	93.57	439.7	13137.3	1d6r	Protein-Protein	2.3	Kd	9.89
